headline,category,short_description
NBA Postpones 5 More Games In Response To Rising COVID Cases,SPORTS,At least 68 players have been ruled out to play because of Health and Safety Protocols related to the coronavirus.
Former Georgia Republican Sen. Johnny Isakson Dies At 76,POLITICS,"The moderate, who resigned in 2019 due to his health issues, was known for making deals with Democrats in an otherwise polarized Congress."
Low-Profile Ransomware Attacks Continue As High-Profile Cases Slow,BUSINESS,"Cyberattacks have interrupted schools, hospitals, government and an array of businesses across the country."
"Rod Stewart And Son, Sean Stewart, Plead Guilty In Hotel Assault Case",ENTERTAINMENT,The case stemmed from a New Year's Eve 2019 altercation with a security guard at an exclusive Florida hotel.
Kristin Davis Reveals She Auditioned For A Major 'Friends' Role,ENTERTAINMENT,"The ""Sex And The City"" star missed out on the part but later made a guest appearance on the hit sitcom."
A ‘Green’ Energy Project Leaves A Mississippi Town Gasping For Air,ENVIRONMENT,European climate subsidies funnel billions to wood-burning power plants that harvest trees from the U.S. South. The industry is taking a toll locally and globally.
Vaccine Opponent Robert Kennedy Jr.'s Guests Reportedly Told To Get COVID-19 Shots,U.S. NEWS,"He blamed the holiday party instructions on his wife, Cheryl Hines, and complained, ""I’m not always the boss at my own house.”"
Unvaxxed Kyrie Irving Returns To Brooklyn Nets,U.S. NEWS,Irving can practice and play in road games but not at home because he doesn’t meet New York City’s COVID-19 vaccine mandate.
5 Damaging Food Comments We Say Too Often Around The Holidays,WELLNESS,These toxic phrases can make people feel unnecessary shame and suck the joy out of the season. Here’s what to say instead.
Senate Confirmed White Nominees More Quickly Than Nominees Of Color This Year,POLITICS,"GOP senators have slowed down the confirmation process, and nominees of color have been disproportionately affected."
Capitol Rioter Who Bragged About Her 'Infamy' Sentenced To Prison,POLITICS,"""Can't wait to tell my grandkids i was here!"" Gracyn Courtright posted on Instagram on Jan. 6."
Joe Biden Gives Green Bay Packers Fan A Blunt Message For Unvaxxed Aaron Rodgers,POLITICS,The president told a woman in a Packers jacket to tell the quarterback one thing during a tour of tornado-hit Kentucky.
"Michael Cohen Sues Trump, Accuses Him Of 'Weaponizing' Prison Over Tell-All Memoir",POLITICS,Cohen's suit claims that his home confinement was prematurely ended to punish him for writing a critical book about Trump.
"Anti-Vaccine Group Stages A Cheesecake Factory 'Sit-In,' Compare Bartender To Nazi",U.S. NEWS,"Online videos show protesters being arrested after they barged into the Queens, New York, restaurant without showing proof of COVID-19 vaccination."
A Definitive Guide To Airplane Seat Etiquette,TRAVEL,"Experts explain what you should know about reclining your seat, sharing armrests and more."
Rep. Jim Jordan Admits To Sending One Of The Texts Revealed By Jan. 6 Committee,POLITICS,The Republican forwarded a message to Mark Meadows outlining a legal theory that the vice president had the authority to stop certification of the 2020 election.
I Can't Self-Care My Way Into Feeling Better Anymore,WELLNESS,Self-help won't fix COVID. Here’s what to do when all the pandemic mental health advice feels frivolous.
Is It Dry Skin Or Eczema? Here's How To Tell The Difference.,STYLE & BEAUTY,"Here's how to figure out what’s going on with your skin, and what you need to do about it, according to experts."
LeBron James' Age-Defying Leap Makes Fans Jump For Joy,SPORTS,"The nearly 37-year-old superstar made a ""superhuman"" block in the Lakers' victory over the Mavericks."
House Moves Forward With Criminal Charges Against Mark Meadows,POLITICS,Members of the House voted to hold Trump's former chief of staff accountable for refusing to cooperate with the committee investigating the Capitol riot.
Archaic Citizen’s Arrest Laws Led To Ahmaud Arbery’s Death. They’re Still On The Books In Many States.,POLITICS,Almost every state in the country allows citizens to act as police — with sometimes deadly consequences. Some want these laws abolished.
Hannah Brown On Colton Underwood: 'I Like Him Better As A Gay Man',ENTERTAINMENT,"The former Bachelorette believes Underwood ""definitely made a lot of mistakes"" in the past, but said she is impressed by his current journey."
Britney Spears Shreds Diane Sawyer Over Teary 2003 Interview: 'I Was A Baby',ENTERTAINMENT,"The pop singer suggested she was forced to speak to the longtime ABC journalist against her will at the time. ""She can kiss my white ass,"" she declared."
Candace Parker Reveals She's Married With A Baby On The Way,ENTERTAINMENT,"The WNBA star said she and wife Anya Petrakova wed in 2019 and have ""always dreamed of growing our family."""
Zac Stacy Makes Jaw-Dropping Claim About Alleged Beating Of Ex-Girlfriend,SPORTS,"The apparent attack by the ex-NFL running back, who's out on bail, was captured on home surveillance video."
Meadows’ ‘Protect Pro Trump People’ Email May Explain Military Reluctance To Deploy Troops,POLITICS,The concern: Thousands of armed troops could have been forced to choose between following their orders or obeying the sitting commander in chief.
Alex Jones Wonders If Joe Biden Used 'Weather Weapons' To Cause Deadly Tornadoes,POLITICS,"The ""Infowars"" conspiracy theorist said it was ""a legitimate question to ask."""
QAnon Believer Who Threatened To Shoot Nancy Pelosi For Trump Sentenced To Prison,POLITICS,Cleveland Grover Meredith Jr. arrived late to the Jan. 6 attack because he had car trouble. He threatened House Speaker Nancy Pelosi.
Chicago Expected To Pay Woman $2.9 Million Over Botched Police Raid,U.S. NEWS,"Officers refused to let Anjanette Young get dressed, instead handcuffing her while she repeatedly told them they were at the wrong address."
First Amendment Doesn't Protect Lies To Fleece MAGA Backers: Ex-White House Ethics Lawyer,POLITICS,"""Spreading fake news to ask for money is commercial speech, and courts enforce laws criminalizing fraud,” warned Richard Painter."
2022 Golden Globes Nominations Are Here After A Year Of Controversy And Boycotts,ENTERTAINMENT,"""The Power of the Dog"" and ""Belfast"" topped the film nominations with seven each. ""Succession"" led the pack for television with five nods."
Fauci Says Those Who Want To Be 'Optimally Protected' Should Get COVID-19 Booster,POLITICS,The doctor said Sunday the U.S. had all the tools needed to “protect ourselves” amid the dual threat from the delta and omicron variants.
TikTok-Famous Beauty Products From 2021 That Are Actually Worth It,STYLE & BEAUTY,The viral makeup and skin care that you need to try out.
Cris Collinsworth Calls Aaron Rodgers 'Honest' And Fans Can't Honestly Believe It,ENTERTAINMENT,"The Green Bay Packers quarterback infamously lied about his vaccination status, but the NBC analyst gushed about him anyway."
Billie Eilish: I Think I Would Have Died From COVID Had I Not Been Vaccinated,ENTERTAINMENT,The singer told Howard Stern on Monday that she was sick for almost two months and still has side effects.
Kate McKinnon Finally Back On 'SNL' As Frustrated Anthony Fauci,COMEDY,Kyle Mooney's Santa complains before the coronavirus expert that the COVID vaccine has made his testicles balloon to the size of grapes.
Crews Search For The Missing After Devastating Tornadoes,U.S. NEWS,Kentucky was the worst-hit state by far in an unusual mid-December swarm of twisters across the Midwest and the South.
Explainer: Was Deadly Tornado Storm System Related To Climate Change?,ENVIRONMENT,"Warm weather was a crucial ingredient in the outbreak that killed dozens of people, but whether climate change is a factor is not quite as clear."
Player In PowerPoint Election Overthrow Plot Reportedly Talked Often With Mark Meadows,POLITICS,"Retired Army colonel Phil Waldron also told The Washington Post that he briefed several members of Congress on ""options"" the night before Jan. 6."
Billie Eilish Mocks Her Own 'Mrs. Claus Going To The Club' Clothes In 'SNL' Monologue,COMEDY,"She also takes a shot at Colin Jost ... at 16 ... ""watching other people go to prom."""
Prosecution Rests In Sex-abuse Trial Of Ghislaine Maxwell,CRIME,"Maxwell, 59, has denied charges she groomed underage girls for Jeffrey Epstein, who killed himself in jail in 2019."
Banksy Creates T-Shirt To Help Alleged Topplers Of Slave Trader Statue,U.S. NEWS,"Four people charged with the felling of the Edward Colston monument in the street artist's home city of Bristol, England, are due to go on trial next week."
Judge OKs Regulators’ Subpoena For ‘Rust’ Assistant Director,U.S. NEWS,Cinematographer Halyna Hutchins was killed and director Joel Souza was wounded in the Oct. 21 shooting
Mark Meadows Hands Over PowerPoint Plan For Trump To Overthrow Election,POLITICS,An email the former chief of staff provided to the House panel investigating the U.S. Capitol riot referred to a scheme for Trump to use emergency powers.
Endangered Right Whale Gives Birth While Entangled In Fishing Gear,ENVIRONMENT,A whale named Snow Cone has surprised scientists by giving birth to a healthy calf despite being encumbered by heavy fishing rope.
"Megan Thee Stallion Graduates From College, Walks Stage At Texas Southern University",ENTERTAINMENT,"“Good morning hotties !!! It’s graduation dayyyy,"" the ""Hot Girl Summer"" rapper tweeted."
"U.S. Consumer Prices Soared 6.8% In Past Year, Most Since 1982",U.S. NEWS,A mix of factors resulting from the swift rebound from the coronavirus pandemic recession has fueled the inflation.
The Funniest Tweets From Parents This Week (Dec. 4-10),PARENTING,"""I went from Mama to Mommy to Mom to Hey can I have $20."""
Watch Rutgers Star Ron Harper Jr. Make The Buzzer Beater Of The Year,SPORTS,The Scarlet Knights basketball team stunned No. 1 Purdue in their first victory over a top-ranked team.
Supreme Court Rules To Allow Challenges To Texas Abortion Ban,POLITICS,The decision comes after some conservative justices signaled concern about the law's unintended side effects.
The 20 Funniest Tweets From Women This Week (Dec. 4-10),WOMEN,"""God having a cat is soooooo fun it feels like im being haunted by a sweater."""
Is It Rude To Send A Cocktail Back?,FOOD & DRINK,Bartenders and etiquette experts break down the rules around rejecting a drink.
Tucker Carlson Has A Misogynistic New Take On What COVID-19 Does To People,POLITICS,"The Fox News conspiracy theorist suggested coronavirus ""feminizes"" people."
Simone Biles Is Time Magazine's 2021 Athlete Of The Year,U.S. NEWS,"“I do believe everything happens for a reason, and there was a purpose,” the gymnast said about prioritizing her mental and physical health at the Olympics."
Travis Scott Says He'll 'Continue To Show Up' For Astroworld Victims In New Interview,ENTERTAINMENT,"The rapper said he has “a responsibility to find a solution"" in his first on-camera appearance since last month's deadly crowd surge."
Pair Of Oxford Shooting Survivors File $100 Million Lawsuit Against District,CRIME,"Two sisters, one of whom was shot in the neck, say administrators could have prevented the deadly school shooting in Michigan."
Reality TV’s Josh Duggar Convicted Of Child Porn Possession,U.S. NEWS,A federal jury in Arkansas has convicted former reality TV star Josh Duggar of downloading and possessing child pornography.
Camel Beauty Contest Rocked By Botox Scandal,WEIRD NEWS,"This year, authorities discovered dozens of breeders had injected camels’ heads and lips with Botox to make them bigger."
Joining Drag Queens On TV Show Costs Indiana Pastor His Job,ENTERTAINMENT,"Pastor Craig Duke has been ""relieved of his pastoral duties"" after appearing in drag on HBO's ""We're Here."""
Hundreds Of Black Women In Georgia Will Get $850 Per Month In Guaranteed Income,BLACK VOICES,The guaranteed income pilot is set to be one of the largest such programs in the U.S.
Arkansas Becomes 3rd State To Introduce Texas-Style Abortion Ban,POLITICS,"During a special session meant to discuss tax cuts, a GOP legislator who thinks the Texas bill is “absolutely awesome” introduced an even more extreme version."
Ocasio-Cortez Absolutely Wrecks Boebert Over Gun-Themed Christmas Pic,POLITICS,“Tell me again where Christ said ‘use the commemoration of my birth to flex violent weapons for personal political gain’?” the representative asked.
"Billionaire Surrenders $70 Million In Plundered Antiquities, Barred From Collecting For Life",U.S. NEWS,"Michael Steinhardt relied on tomb raiders and crime bosses to expand his collection, the Manhattan district attorney said."
Former DC Guard Official Rips 'Unmitigated' Jan. 6 Lies Of Michael Flynn's Brother,POLITICS,Col. Earl Matthews accuses Lt. Gen. Charles Flynn and Lt. Gen. Walter Piatt of lying to Congress about what transpired the day rioters breached the Capitol.
Republicans Attack Child Care Funding As 'Toddler Takeover',POLITICS,"Democrats believe it will be difficult for Republicans to oppose popular elements of Build Back Better, like new child care funding. But the GOP isn't playing along."
Chris Cuomo's Book Pulled By Publisher After His Firing From CNN,U.S. NEWS,"An investigation revealed the former anchor played a bigger role in helping his brother, then-Gov. Andrew Cuomo, deal with sexual misconduct allegations."
Nevada Man Gets 4 Years For Scams Using Fake Trump And Biden PACS,CRIME,"James Kyle Bell also set up a series of shell companies to illegally collect COVID relief funds, the Justice Department said."
Major Storm Prompts Warnings Of ‘Catastrophic’ Flooding In Hawaii,U.S. NEWS,"The seasonal cyclone, known as a Kona low, could bring up to 25 inches of rain to some parts of the islands."
UK Police Contacted Over Report Of Cocaine Use In Parliament,POLITICS,The Sunday Times reported that drug detection wipes found traces of cocaine in 11 locations that are only accessible by accredited parliamentary lawmakers.
Former GOP Senator David Perdue Enters Georgia Governor’s Race (UPDATED),POLITICS,Democrat Stacey Abrams announced her own bid to unseat Gov. Brian Kemp (R) on Wednesday.
Bob Dole To Lie In State At U.S. Capitol,POLITICS,The former U.S. senator from Kansas died Sunday at age 98.
Myanmar Court Sentences Ousted Leader Aung San Suu Kyi To 4 Years,WORLD NEWS,The sentencing was the first in a series of cases in which the 76-year-old Nobel laureate is being prosecuted since the army seized power on Feb. 1.
U.S. Religious Group Says Haitian Gang Releases 3 More Hostages,WORLD NEWS,"A religious group based in Ohio has announced that a violent gang in Haiti has released three more hostages, while another 12 remain abducted."
Pair Of Belgium Zoo Hippos Get COVID In What May Be First Cases For Species,ENVIRONMENT,"Imani and Hermien only have runny noses so far, according to zoo officials."
"Trump Social Media Blows Deadline, Still Claims $1 Billion Commitment From Secret Investors",POLITICS,"This will show ""Big Tech,"" crows Trump."
Chris Cuomo Denies Sexual Misconduct Allegations Against Him After CNN Firing,POLITICS,The network was aware of the allegation just days before the anchor was fired for helping his then-governor brother defend himself against misconduct claims.
Spread Your Wings: Vegas Company Offers Tickets To Mile-High Club,U.S. NEWS,Did the Earth move?
"Top Health Officials Share Optimism, Concern On Omicron Variant Of COVID",U.S. NEWS,"""Thus far, it does not look like there's a great degree of severity to it,"" Dr. Anthony Fauci said of the COVID variant's effects, while urging Americans to stay vigilant."
"Bob Dole, Former Republican Senator And Presidential Nominee, Dies At 98",POLITICS,The prominent statesman and war hero had been hailed as “the true measure of servant leadership” from both sides of the aisle.
Audiences Go For A Second Helping Of ‘Encanto',ENTERTAINMENT,"“Encanto,” “Ghostbusters: Afterlife” and “House of Gucci” repeated in the top three spots at the box office."
"Michigan Suspect's Parents Found Hiding In Building, Chief Says",U.S. NEWS,A sheriff's office in Michigan says the parents of a teen accused of killing four students in a shooting at a high school were caught while hiding in a Detroit commercial building.
Penobscot Nation Members Do Not Want Ancestors' Scalping Whitewashed,U.S. NEWS,A new educational film produced by the tribe explains how settlers were encouraged to scalp natives for cash bounties.
Hawaii Gets Blizzard Warning As Denver Remains Snow-Free,ENVIRONMENT,"Blizzard warnings for Hawaii are rare, but not totally unheard of."
"Nicole Kidman Feared She Was Wrong To Play Lucille Ball, Almost Quit Movie",ENTERTAINMENT,"Some people were skeptical when news broke that Kidman would be playing the comedy icon in Aaron Sorkin's ""Being the Ricardos."""
Joe Biden’s ‘Vaccine Mandate’ Has An Alternative: Weekly Tests,POLITICS,"But the testing option won't be fun, and maybe that's the idea."
Omicron Variant Found In 5 States As Biden Lays Out Plan To Tackle Winter Surge,POLITICS,"“The best thing everyone can do is to realize we are not defenseless,"" New York Gov. Kathy Hochul said."
Colorado Supermarket Shooting Suspect Deemed Incompetent For Trial,U.S. NEWS,Ahwad Al Aliwi Alissa's attorney said Friday her client has a “serious” mental illness but did not provide more details.
"Man Arrested In Death Of Jacqueline Avant, Music Icon’s Wife, In Beverly Hills",CRIME,"A 29-year-old man has been arrested after the fatal shooting of philanthropist Jacqueline Avant, the wife of legendary music executive Clarence Avant."
President Joe Biden Has A Cold,POLITICS,The president has repeatedly tested negative for COVID-19.
"U.S. Employers Added Sluggish 210,000 Jobs In November",U.S. NEWS,That's after adding more than half a million jobs in October.
Unvaccinated Nevada State Workers To Pay Monthly Insurance Surcharge,U.S. NEWS,State workers enrolled in public employee healthcare plans will be charged up to $55 per month if they aren't inoculated from COVID-19.
Biden Set To Extend Mask Mandate On Public Transit Through Mid-March: Reports,POLITICS,The first U.S. case of the omicron variant has been confirmed in California.
House Passes Government Funding As Senate Republicans Threaten Shutdown Over Vaccines,POLITICS,Some conservatives are threatening a government shutdown over the Biden administration's pending COVID-19 vaccination and testing rules.
Jan. 6 Committee Votes To Hold Ex-Trump Official Jeffrey Clark In Contempt,POLITICS,Trump considered installing Clark as his attorney general in the desperate waning days of his presidency.
BuzzFeed News Union Stages Walkout Amid Company's Plans To Go Public,MEDIA,The walkout over wages and creative control came the same day that the company’s shareholders are set to vote on taking the company public.
UK Court Backs Meghan Markle In Dispute Over Privacy With Newspaper Publisher,WORLD NEWS,The Duchess of Sussex won the latest stage in her long-running privacy lawsuit against the publisher of the Mail on Sunday and the MailOnline website.
Florida Man Charged With Killing 21-Year-Old Woman In 1983,U.S. NEWS,"Ralph Williams, 59, was arrested in Jacksonville and charged with the death of Carla Lowe more than 38 years ago."
1983 AL Cy Young Award Winner LaMarr Hoyt Dies At 66,SPORTS,"The Chicago White Sox said Hoyt died Monday in his hometown of Columbia, South Carolina, following a lengthy illness."
"86 Sports Bettors Get Really Lucky, Allowed To Bet On Game After It Ended",WEIRD NEWS,"The gamblers won a collective total of nearly $15,000 only to have their wagers voided later."
Senate Republicans Threaten Government Shutdown Over ‘Vaccine Mandate’,POLITICS,The rule requiring employees at large companies to get vaccinated or be tested weekly hasn’t taken effect yet.
Stacey Abrams Announces Run For Georgia Governor In 2022,POLITICS,"The voting rights activist will likely face off against the current Republican governor, Brian Kemp."
Officer Charged In Daunte Wright's Death To Testify At Trial,U.S. NEWS,"Jury selection will resume in the trial of Kim Potter, and her attorneys said the suburban Minneapolis police officer would testify."
President Joe Biden Reaches Out To Another Child Struggling With A Stutter,POLITICS,"""I promise you it will go away if you just keep at it,"" Biden assured a girl while vacationing in Nantucket."
NYC Becomes First U.S. City To Open Supervised Injection Sites For Drug Users,U.S. NEWS,"After a record year of overdoses in 2020, the two new supervised injection sites aim to offer a safer alternative for drug users."
Court Upholds California's Ban On High-Capacity Gun Magazines,POLITICS,"“The statute outlaws no weapon, but only limits the size of the magazine that may be used with firearms,” the judges ruled in the 7-4 decision."
"Arlene Dahl, 1950s Screen Star, Dead At 96",ENTERTAINMENT,"Dahl is best known for films like “Journey to the Center of the Earth” and “Three Little Words,” and for being the mother of Lorenzo Lamas."
Jussie Smollett's Lawyer Says Actor Is 'A Real Victim' Of Attack,ENTERTAINMENT,Jussie Smollett's defense attorney says he is a “real victim” of a racist and homophobic attack in Chicago in January 2019.
"Space Junk Too Risky For Astronaut, Spacewalk Delayed",SCIENCE,It’s the first time a spacewalk has been canceled because of threat from space junk.
Actor Jussie Smollett Heads To Trial To Face Charges He Lied To Police,CRIME,"Two men say the actor paid them to stage a hate crime against him, but Smollett maintains his innocence."
The Best Tools For All Your Hanukkah Frying,FOOD & DRINK,"From Dutch ovens to cheesecloth and the right thermometer, these kitchen must-haves will help you make delicious fried food."
"Carrie Meek, Pioneering Black Former Congresswoman, Dies",POLITICS,"Former Florida congresswoman Carrie Meek championed affirmative action, economic opportunities for the poor and efforts to bolster democracy in Haiti."
Matthew McConaughey Says He's Decided Not To Run For Texas Governor,POLITICS,"The Oscar-winning actor said it was ""a path that I’m choosing not to take at this moment."""
Merriam-Webster Chooses Vaccine As The 2021 Word Of The Year,U.S. NEWS,"Lookups for “vaccine” increased 601% over 2020. It was also extremely high every day in 2021, the publishing company said."
Stowaway Found Alive After Flying To Miami In Plane's Landing Gear,U.S. NEWS,Video posted online appears to show the man sitting on the tarmac after his precarious ride that authorities say very few survive.
Fashion Designer Virgil Abloh Dies Of Cancer At 41,STYLE & BEAUTY,Abloh was the artistic director for Louis Vuitton’s menswear.
Omar Seeks Action Over Far-Right Congresswoman's Islamophobic Remarks,POLITICS,"Colorado Republican Rep. Lauren Boebert has repeatedly referred to Rep. Ilhan Omar in derogatory terms, calling Omar a member of the ""jihad squad."""
Donations Pour In For Missouri Man Freed After 43 Years Of Wrongful Imprisonment,CRIME,"More than $1.5 million has been raised for Kevin Strickland, who spent decades behind bars before a judge overruled his conviction."
"Phil Saviano, Key Clergy Sex Abuse Whistleblower, Dies At 69",U.S. NEWS,Phil Saviano played a pivotal role exposing decades of predatory assaults by Roman Catholic priests.
"Netherlands, Australia Find Omicron Variant As Restrictions Spread",WORLD NEWS,Israel moved to ban entry by foreigners and mandate quarantine for all Israelis arriving from abroad.
Climate Activists Blockade Amazon Warehouses Across Europe On Black Friday,WORLD NEWS,It was part of a global effort to pressure the e-commerce giant on one of its busiest days of the year.
"Rare Coin Found In A Candy Tin Sells At Auction For $350,000",U.S. NEWS,One of the first coins minted in Colonial New England sold to an anonymous online bidder.
Stray Bullet Kills Pennsylvania Man Eating Thanksgiving Dinner,U.S. NEWS,"Edilberto Miguel Palaez Moctezuma, 25, was killed by the stray projectile that pierced a window at his Philadelphia suburbs home."
"Stars Of Stage And Screen Pay Heartfelt Tribute To 'Legend, Icon' Stephen Sondheim",ENTERTAINMENT,"Barbra Streisand, Viola Davis, Idina Menzel, Ava DuVernay, Hugh Jackman, Lin-Manuel Miranda and more lined up to honor the musical theater legend."
News Crew Security Guard Dies After Being Shot While Helping Robbery Coverage,CRIME,Kevin Nishita was shot in the abdomen while doing his job amid an uptick in organized retail crime.
More Countries Scramble To Curb Omicron,WORLD NEWS,The new COVID-19 variant was identified in South Africa two weeks ago.
Survivor Found In Siberian Coal Mine Accident That Likely Killed Dozens,WORLD NEWS,Dozens of miners are presumed dead after a devastating methane explosion filled the mine with toxic fumes.
Longtime Brazil Olympic Boss Sentenced To 30 Years For Rio 2016 Corruption,WORLD NEWS,"Carlos Arthur Nuzman was found guilty of corruption, criminal organization, money laundering and tax evasion."
Solomon Islands Leader Blames Foreign Powers Amid Unrest,WORLD NEWS,"Protests, arson and looting have ravaged the capital in recent days following his government’s decision to switch alliances from Taiwan to Beijing."
"FDA Says Merck COVID Pill Effective, Experts Will Review Safety",U.S. NEWS,U.S. health officials say Merck's experimental COVID-19 pill is effective but they raised questions about its safety during pregnancy.
Stores Kick Off Black Friday But Pandemic Woes Linger,BUSINESS,Retailers are expected to usher in the unofficial start to the holiday shopping season Friday with bigger crowds than last year in a closer step toward normalcy.
"Polyp Removed From Joe Biden's Colon Was Benign, Potentially Pre-Cancerous",POLITICS,"The tubular adenoma was similar to one removed from Biden in 2008 and required no further action, said the president's doctor."
Justice Dept. To Prioritize Prosecuting Violence On Flights,POLITICS,The DOJ says it will aggressively prosecute violent passengers who assault crew members or endanger the safety of other passengers.
"Macy’s Thanksgiving Parade Returns, With All The Trimmings",U.S. NEWS,The 95th annual parade returned in full after being trimmed down and only televised last year due to the coronavirus pandemic.
"From Serious To Scurrilous, Some Jimmy Hoffa Theories",U.S. NEWS,The FBI confirmed last week that it was looking at a spot in New Jersey as a possible burial site for former Teamsters boss Jimmy Hoffa.
Al-Shabab Blast By School In Somali Capital Kills At Least 8,WORLD NEWS,The blast sent a plume of smoke above a busy part of Mogadishu during the morning rush hour and shredded part of the school.
Sweden's First Female Prime Minister Quits Hours After Appointment,WORLD NEWS,"Sweden has been viewed as one of Europe’s most progressive countries when it comes to gender relations, but had yet to have a woman in the top political post."
Supreme Court Will Hear Dispute Over North Carolina Voter ID Law,POLITICS,"The state's GOP-controlled legislature claims Democratic leaders are failing to adequately defend the law, so they want to do so themselves."
Migrant Boat Capsizes In English Channel; At Least 31 Dead,WORLD NEWS,France’s interior minister said it's the biggest tragedy involving migrants on the crossing to date. Four suspected traffickers have been arrested.
White House: 92% Of Fed Workers Under Mandate Are Vaccinated,POLITICS,"Officials say the most important lesson for businesses from the federal experience is that once they take the first step toward requirements, their workers will follow."
Jury Holds Pharmacies Responsible For Role In Opioid Crisis,U.S. NEWS,"A federal jury says CVS, Walgreens and Walmart pharmacies didn’t do enough to stop the flow of opioid pills into two Ohio counties."
More States Expanded Voting Rights In 2021 Than Restricted Them,POLITICS,"Still, at the federal level, it remains ""incredibly important for Congress to step in"" to prevent widespread disenfranchisement, one voting rights attorney said."
"Foo Fighters, Paul McCartney Nominated For 2 Of The Same Grammys",ENTERTAINMENT,"The former Beatle recently joked that Dave Grohl was “stalking” him career-wise, and Tuesday’s news only strengthens his case."
Milwaukee’s ‘Dancing Grannies’ Devastated By Parade Crash,POLITICS,Three members of the group were killed Sunday after the driver of a red SUV roared through a Christmas parade in Waukesha.
Michael Strahan Going Into Space Next Month On Blue Origin Flight,ENTERTAINMENT,"“I want to go to space,” Strahan told “Good Morning America.” “I think being there at the first launch, it really was mind-blowing.”"
Fed's Powell Will Aim To Win A High-Stakes Bet In 2nd Term,POLITICS,President Joe Biden on Monday picked Federal Reserve Chair Jerome Powell for another four-year term.
"Bus Crashes, Catches Fire In Bulgaria; At Least 45 Dead",WORLD NEWS,Interior Minister Boyko Rashkov told reporters at the crash site that he had “never in my life seen something more horrifying.”
GOP Gov. Chris Sununu Says Republicans In Congress Have 'Priorities Screwed Up',POLITICS,The New Hampshire governor weighed in on the censure of Rep. Paul Gosar and the passage of Joe Biden's infrastructure bill.
FAA Proposes Fines For Alcohol-Related Incidents On Planes,U.S. NEWS,"One passenger is being fined $40,000 for allegedly bringing alcohol on a plane and drinking it, smoking marijuana in the lavatory, and sexually assaulting a flight attendant."
Joe Biden Sets $15 Minimum Wage For Federal Contractors,POLITICS,The higher wage floor will apply to new federal contracts across the country after Jan. 30.
Vermont Democratic U.S. Rep. Peter Welch To Run For Patrick Leahy's Senate Seat,POLITICS,The decisions by Leahy and now Welch will create the first open seats in Vermont's three-member congressional delegation since 2006.
"Biden To Keep Jerome Powell As Fed Chair, Brainard Gets Vice Chair",POLITICS,Biden's decision strikes a note of continuity at a time when surging inflation is burdening households and raising risks to the economy's recovery.
Biden Goes With Safe Fed Pick Over Nod To Progressives In Face Of Inflation Threat,POLITICS,The renomination of Jerome Powell also returns Joe Biden to his roots as an economic moderate.
"O’Rourke: Military-Style Weapons, Permitless Carry Prevent Responsible Gun Ownership",POLITICS,"""We don't want extremism in our gun laws,"" the Texas gubernatorial candidate said."
Chinese Tennis Star Peng Shuai Says She's Safe: Olympic Officials,WORLD NEWS,"The International Olympic Committee said the three-time Olympian, who accused a former Chinese government official of sexual assault, appeared in a video call."
Virginia's Lt. Gov.-Elect Likens Vaccine Status To Inquiring About One's DNA,POLITICS,"""Now you’ll want to know what’s in my DNA,” Republican Winsome Sears said when asked about whether she has received a COVID vaccine."
Tens Of Thousands Protest Belgium's Tighter COVID-19 Rules Amid Spike,WORLD NEWS,Demonstrators marched in Brussels against reinforced COVID-19 restrictions imposed to counter the latest spike in coronavirus cases across Europe.
Sudan Military Leaders Reinstate Prime Minister Who Was Deposed In Coup,WORLD NEWS,"A key pro-democracy group that has mobilized dozens of protests against the coup dismissed the military's deal with Abdalla Hamdok as ""a form of betrayal."""
U.S. Church Group: 2 Of 17 Missionary Abductees Freed In Haiti,WORLD NEWS,"The abducted members who were taken hostage in October are ""in good spirits and being cared for,"" Christian Aid Ministries announced Sunday."
Young Dolph's Memphis Legacy: 'His Generosity Knew No Bounds',U.S. NEWS,The 36-year-old rapper was killed while visiting one of his favorite bakeries on Wednesday.
Eddie Bernice Johnson Is Latest U.S. Rep. To Announce Retirement,POLITICS,The veteran congresswoman won't be seeking reelection next year.
Biden Marks Transgender Day Of Remembrance: 'Each Of These Lives Was Precious',POLITICS,"“This year, at least 46 transgender individuals in this country — and hundreds more around the world — were killed in horrifying acts of violence,” Biden said."
Rare First Printing Of U.S. Constitution Sells For Record Figure At Auction,U.S. NEWS,"Citadel hedge fund founder Kenneth Griffin outbid a group of 17,000 cryptocurrency enthusiasts who'd crowdfunded to buy the document."
Elizabeth Holmes Takes Stand In Theranos Criminal Fraud Trial,CRIME,"The former entrepreneur attempted to refute allegations that she bamboozled investors and patients into believing that her startup, Theranos, would reshape health care."
Washington State Florist Who Rejected Same-Sex Wedding Job Settles With Couple,U.S. NEWS,"Barronelle Stutzman of Arlene's Flowers said she will turn the ""struggle for freedom over to others"" after settling with Curt Freed and Robert Ingersoll."
State Attorneys General Investigating Instagram's Negative Effects On Kids,POLITICS,"Massachusetts AG Maura Healey accused Meta, formerly Facebook, of ""exploiting children in the interest of profit."""
Kyle Rittenhouse Jury Returns For 4th Day Of Deliberations,U.S. NEWS,"Even as the jury weighed the evidence, two mistrial requests from the defense hung over the case."
"Kyle Rittenhouse Jury Wraps Up 3rd Day Of Deliberations, No Verdict Yet",U.S. NEWS,Rittenhouse is on trial for killing two men and wounding a third with a rifle during a turbulent night of protests that erupted in Kenosha in the summer of 2020.
